datetime,ticker,price_open,price_close,price_high,price_low,price_vol
2015-01-01 14:56:00,X:BTCUSD,314.02868,314.02868,314.02868,314.02868,0.22
2015-01-01 15:01:00,X:BTCUSD,314.03924,314.03924,314.03924,314.03924,0.015
2015-01-01 17:32:00,X:BTCUSD,324.99787,324.99787,324.99787,324.99787,0.15
2015-01-01 17:39:00,X:BTCUSD,324.99703,324.99703,324.99703,324.99703,0.05
2015-01-02 04:00:00,X:BTCUSD,313.17849,313.17849,313.17849,313.17849,0.0104
2015-01-02 09:35:00,X:BTCUSD,319.99912,319.99912,319.99912,319.99912,0.3
2015-01-02 09:46:00,X:BTCUSD,319.99912,319.99912,319.99912,319.99912,0.156
2015-01-02 09:57:00,X:BTCUSD,319.99999,313.33238,319.99999,313.33238,0.182
2015-01-02 12:40:00,X:BTCUSD,320.0,320.0,320.0,320.0,0.33
2015-01-02 17:36:00,X:BTCUSD,315.10956,315.10954,315.10956,315.10954,0.95
2015-01-02 17:39:00,X:BTCUSD,319.99999,319.99999,319.99999,319.99999,0.1756875
2015-01-02 22:22:00,X:BTCUSD,319.99999,319.99999,319.99999,319.99999,0.21921
2015-01-02 22:57:00,X:BTCUSD,315.30381,315.30381,315.30381,315.30381,4.398
2015-01-02 22:59:00,X:BTCUSD,319.99999,319.99999,319.99999,319.99999,0.7721999999999999
2015-01-02 23:00:00,X:BTCUSD,319.99999,319.99999,319.99999,319.99999,0.8999999999999999
2015-01-02 23:01:00,X:BTCUSD,319.99999,315.30403,319.99999,315.30403,0.5218
2015-01-03 03:22:00,X:BTCUSD,315.3001,315.3001,315.3001,315.3001,0.01136
2015-01-03 03:34:00,X:BTCUSD,315.3001,315.3001,315.3001,315.3001,0.1
2015-01-03 03:35:00,X:BTCUSD,315.3001,313.0,315.3001,313.0,0.11641122
2015-01-03 06:42:00,X:BTCUSD,313.0,305.00002,313.0,305.00002,0.26285279
2015-01-03 12:08:00,X:BTCUSD,305.0,305.0,305.0,305.0,0.3
2015-01-03 12:09:00,X:BTCUSD,305.0,305.0,305.0,305.0,0.7999999999999999
2015-01-03 12:10:00,X:BTCUSD,305.0,305.0,305.0,305.0,0.8999999999999999
2015-01-03 12:11:00,X:BTCUSD,304.70089,300.00002,304.70089,300.00002,0.25192109
2015-01-03 12:42:00,X:BTCUSD,319.9338,319.9338,319.9338,319.9338,0.00363372
2015-01-03 15:10:00,X:BTCUSD,314.99328,314.99329,314.99329,314.99328,2.0
2015-01-03 18:54:00,X:BTCUSD,300.63012,300.63012,300.63012,300.63012,7.0
2015-01-03 19:29:00,X:BTCUSD,300.63175,300.00002,300.63175,300.00002,2.77884136
2015-01-03 19:30:00,X:BTCUSD,300.00002,300.63175,300.63175,300.00002,2.02566145
2015-01-03 19:32:00,X:BTCUSD,300.00018,300.00017,300.00018,300.00017,4.0
2015-01-03 19:36:00,X:BTCUSD,300.00017,300.00017,300.00017,300.00017,0.024
2015-01-03 19:57:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.3
2015-01-03 19:58:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.8999999999999999
2015-01-03 19:59:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.8999999999999999
2015-01-03 20:00:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.7
2015-01-03 20:01:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.7
2015-01-03 20:02:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.8999999999999999
2015-01-03 20:03:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.7999999999999999
2015-01-03 20:04:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.8999999999999999
2015-01-03 20:05:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.6
2015-01-03 20:06:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.7999999999999999
2015-01-03 20:07:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.7999999999999999
2015-01-03 20:08:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.6
2015-01-03 20:09:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.2
2015-01-03 20:12:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.2
2015-01-03 20:13:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.7999999999999999
2015-01-03 20:14:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.7
2015-01-03 20:15:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.5
2015-01-03 20:26:00,X:BTCUSD,300.0,300.0,300.0,300.0,5.649999999999998
2015-01-03 20:27:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.7999999999999999
2015-01-03 20:28:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.7999999999999999
2015-01-03 20:29:00,X:BTCUSD,300.0,300.0,300.0,300.0,1.7363099100000003
2015-01-03 20:30:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.7999999999999999
2015-01-03 20:31:00,X:BTCUSD,300.0,300.0,300.0,300.0,2.4000000000000004
2015-01-03 20:32:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.5
2015-01-03 20:33:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.8999999999999999
2015-01-03 20:34:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.6120196999999999
2015-01-03 20:35:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.7999999999999999
2015-01-03 20:36:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.4907800000000001
2015-01-03 20:37:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.7
2015-01-03 20:42:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.0897337
2015-01-03 20:43:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.181
2015-01-03 20:44:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.05
2015-01-03 20:45:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.285
2015-01-03 20:46:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.23107403
2015-01-03 20:47:00,X:BTCUSD,300.0,300.0,300.0,300.0,0.6
2015-01-03 20:48:00,X:BTCUSD,300.0,295.00003,300.0,295.00003,0.17408266
2015-01-03 21:13:00,X:BTCUSD,295.00026,295.0,295.00026,295.0,1.32990713
2015-01-03 21:14:00,X:BTCUSD,295.0,295.0,295.0,295.0,0.176822
2015-01-03 21:26:00,X:BTCUSD,295.0,295.0,295.0,295.0,0.32106519
2015-01-03 21:29:00,X:BTCUSD,295.0,295.0,295.0,295.0,0.7050000000000001
2015-01-03 21:31:00,X:BTCUSD,295.0,295.0,295.0,295.0,0.2521128099999999
2015-01-03 21:32:00,X:BTCUSD,294.99999,294.99999,294.99999,294.99999,0.022
2015-01-03 23:39:00,X:BTCUSD,295.0,295.0,295.0,295.0,2.2255172500000007
2015-01-03 23:40:00,X:BTCUSD,295.0,281.50556,295.0,281.50556,0.99448275
2015-01-04 01:10:00,X:BTCUSD,287.5338,287.5338,287.5338,287.5338,0.057627
2015-01-04 01:11:00,X:BTCUSD,281.04306,281.04305,281.04306,281.04305,3.6565511
2015-01-04 01:14:00,X:BTCUSD,281.04305,281.04305,281.04305,281.04305,0.30138621
2015-01-04 01:15:00,X:BTCUSD,281.04305,281.04305,281.04305,281.04305,0.03106269
2015-01-04 02:17:00,X:BTCUSD,282.45,282.45,282.45,282.45,0.25259492
2015-01-04 02:26:00,X:BTCUSD,281.0,281.0,281.0,281.0,0.557
2015-01-04 02:27:00,X:BTCUSD,281.0,281.0,281.0,281.0,0.18927896
2015-01-04 02:36:00,X:BTCUSD,281.0,281.0,281.0,281.0,0.2239348
2015-01-04 02:37:00,X:BTCUSD,281.0,281.0,281.0,281.0,0.52268451
2015-01-04 02:43:00,X:BTCUSD,281.0,281.0,281.0,281.0,0.034
2015-01-04 02:44:00,X:BTCUSD,281.0,281.0,281.0,281.0,0.149
2015-01-04 03:29:00,X:BTCUSD,281.08008,281.08008,281.08008,281.08008,0.07609888
2015-01-04 04:46:00,X:BTCUSD,283.99999,285.1075,285.1075,283.99999,0.52357633
